Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XMODEL reset=1 unknown_policy=1 unknown_value=00 configured_inputs=0 output_readback=disabled stop_after_taint=0
[:] ADCMODEL profile=key-on callback_range=0..127 addat=callback*2
Soft reset
[:kw71] KW71_TX usec=0 state=0
[:xdata] XEV seq=1 op=W addr=a081 pc=5c0c value=01 class=unknown-write taint=0
[:xdata] XEV seq=2 op=W addr=a010 pc=5c12 value=81 class=unknown-write taint=0
[:xdata] XEV seq=3 op=W addr=a011 pc=5c16 value=81 class=unknown-write taint=0
[:xdata] XEV seq=4 op=W addr=a040 pc=5c1c value=ff class=output-latch taint=0
[:xdata] XEV seq=5 op=W addr=a041 pc=5c20 value=ff class=output-latch taint=0
[:xdata] XEV seq=6 op=W addr=a002 pc=5c26 value=00 class=unknown-write taint=0
[:xdata] XEV seq=7 op=W addr=a003 pc=5c2a value=00 class=unknown-write taint=0
[:xdata] XEV seq=8 op=W addr=a004 pc=5c2e value=00 class=unknown-write taint=0
[:xdata] XEV seq=9 op=W addr=a005 pc=5c32 value=00 class=unknown-write taint=0
[:xdata] XEV seq=10 op=W addr=a008 pc=5c38 value=00 class=unknown-write taint=0
[:xdata] XEV seq=11 op=W addr=a009 pc=5c3c value=00 class=unknown-write taint=0
[:xdata] XEV seq=12 op=W addr=a021 pc=5c42 value=d7 class=unknown-write taint=0
[:xdata] XEV seq=13 op=W addr=a020 pc=5c48 value=ff class=unknown-write taint=0
[:xdata] XEV seq=14 op=W addr=0162 pc=5c4e value=d7 class=storage taint=0
[:xdata] XEV seq=15 op=R addr=0000 pc=5c54 value=00 class=storage taint=0
[:xdata] XEV seq=16 op=W addr=015b pc=5c78 value=00 class=storage taint=0
[:xdata] XEV seq=17 op=R addr=015b pc=5c81 value=00 class=storage taint=0
[:xdata] XEV seq=18 op=W addr=020b pc=5c8a value=00 class=storage taint=0
[:xdata] XEV seq=19 op=W addr=020c pc=5c8f value=aa class=storage taint=0
[:xdata] XEV seq=20 op=R addr=015b pc=8f9c value=00 class=storage taint=0
[:xdata] XEV seq=21 op=W addr=00f1 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=22 op=W addr=00f0 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=23 op=W addr=00ef pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=24 op=W addr=00ee pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=25 op=W addr=00ed pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=26 op=W addr=00ec pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=27 op=W addr=00eb pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=28 op=W addr=00ea pc=8fa6 value=00 class=storage taint=0
