RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:maincpu] write of un-hooked port 1 ff
[:maincpu] write of un-hooked port 0 ff
[:maincpu] ':maincpu' (0075): unmapped sfr memory read from A9 & FF
[:xdata] XDATA first op=W addr=a081 pc=5c0c value=01 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a010 pc=5c12 value=81 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a011 pc=5c16 value=81 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a040 pc=5c1c value=ff class=output-latch unknown=0
[:xdata] XDATA first op=W addr=a041 pc=5c20 value=ff class=output-latch unknown=0
[:xdata] XDATA first op=W addr=a002 pc=5c26 value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a003 pc=5c2a value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a004 pc=5c2e value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a005 pc=5c32 value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a008 pc=5c38 value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a009 pc=5c3c value=00 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a021 pc=5c42 value=d7 class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=a020 pc=5c48 value=ff class=asic-register-unknown unknown=0
[:xdata] XDATA first op=W addr=0162 pc=5c4e value=d7 class=retained-xram-approx unknown=0
[:maincpu] write of un-hooked port 2 00
[:xdata] XDATA first op=R addr=0000 pc=5c54 value=00 class=retained-xram-approx unknown=0
[:maincpu] write of un-hooked port 2 01
[:xdata] XDATA first op=W addr=015b pc=5c78 value=00 class=retained-xram-approx unknown=0
[:maincpu] write of un-hooked port 2 00
[:maincpu] write of un-hooked port 2 01
[:xdata] XDATA first op=R addr=015b pc=5c81 value=00 class=retained-xram-approx unknown=0
[:maincpu] write of un-hooked port 2 02
[:xdata] XDATA first op=W addr=020b pc=5c8a value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=020c pc=5c8f value=aa class=retained-xram-approx unknown=0
[:maincpu] read of un-hooked port 5 (PC=5C9F)
[:maincpu] write of un-hooked port 5 ff
[:maincpu] write of un-hooked port 2 00
[:maincpu] write of un-hooked port 2 01
[:maincpu] write of un-hooked port 2 00
[:xdata] XDATA first op=W addr=00f1 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00f0 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ef pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ee pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ed pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ec pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00eb pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00ea pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e9 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e8 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e7 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e6 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e5 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e4 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e3 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e2 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e1 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=00e0 pc=8fa6 value=00 class=retained-xram-approx unknown=0
